IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,DST_TO_SRC_SECOND_BYTES,SRC_TO_DST_SECOND_BYTES,Label,Attack
192.168.4.1,53,192.168.4.60,57452,17,57452,274,1,0,0,0,0,0,64,64,274,274,274,274,0,0,0,0,274,0,0,0,1,0,0,0,0,0,0,33867,0,264,0,0.0,0,0,20838,31403,0,Benign
192.168.4.1,53,192.168.4.60,49725,17,49725,250,1,0,0,0,0,0,64,64,250,250,250,250,0,0,0,0,250,0,0,1,0,0,0,0,0,0,0,37658,0,300,0,0.0,0,0,20838,31403,0,Benign
192.168.4.1,53,192.168.4.60,49580,17,49580,163,1,0,0,0,0,0,64,64,163,163,163,163,0,0,0,0,163,0,0,1,0,0,0,0,0,0,0,274,0,0,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,54503,192.168.4.1,53,17,53,0,0,92,1,0,0,0,64,64,92,92,92,92,0,0,0,0,0,92,1,0,0,0,0,0,0,0,0,37147,1,0,0,0.0,0,0,20838,31403,1,Scanning
192.168.4.60,51413,178.176.171.64,34185,17,34185,0,0,152,1,0,0,0,64,64,152,152,152,152,0,0,0,0,0,152,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20838,31403,0,Benign
192.168.4.1,53,192.168.4.60,54971,17,54971,90,1,0,0,0,0,0,64,64,90,90,90,90,0,0,0,0,90,0,1,0,0,0,0,0,0,0,0,11132,0,106,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,51413,93.44.176.136,6885,17,6885,0,0,89,1,0,0,0,64,64,89,89,89,89,0,0,0,0,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20838,31403,0,Benign
192.168.4.1,53,192.168.4.60,61019,17,61019,235,1,0,0,0,0,0,64,64,235,235,235,235,0,0,0,0,235,0,0,1,0,0,0,0,0,0,0,20501,0,300,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,51413,163.172.98.4,9002,17,9002,0,0,100,1,0,0,0,64,64,100,100,100,100,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20838,31403,1,Backdoor
192.168.4.1,53,192.168.4.60,53798,17,53798,245,1,0,0,0,0,0,64,64,245,245,245,245,0,0,0,0,245,0,0,1,0,0,0,0,0,0,0,12566,0,48,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,50023,192.168.4.1,53,17,53,0,0,74,1,0,0,0,64,64,74,74,74,74,0,0,0,0,0,74,1,0,0,0,0,0,0,0,0,63526,1,0,0,0.0,0,0,20838,31403,1,Scanning
192.168.4.1,53,192.168.4.60,59576,17,59576,192,1,0,0,0,0,0,64,64,192,192,192,192,0,0,0,0,192,0,0,1,0,0,0,0,0,0,0,54321,0,300,0,0.0,0,0,20838,31403,0,Benign
192.168.4.1,53,192.168.4.60,54503,17,54503,305,1,0,0,0,0,0,64,64,305,305,305,305,0,0,0,0,305,0,0,0,1,0,0,0,0,0,0,37147,0,300,0,0.0,0,0,20838,31403,0,Benign
17.250.83.201,443,192.168.4.60,60090,17,60090,3190,8,0,0,0,0,0,55,55,1242,73,73,1242,0,0,0,0,48931435520,0,4,0,2,1,1,0,0,0,0,0,0,0,0,15339008.0,0,15339,4333,6530,0,Benign
192.168.4.60,60090,17.250.83.201,443,17,443,0,0,4782,8,0,0,0,64,64,1392,85,85,1392,0,0,0,0,0,105548610048,2,3,0,0,3,0,0,0,0,0,0,0,0,22072064.0,22072,0,4514,6803,0,Benign
109.161.43.114,41115,192.168.4.60,51413,17,51413,174,1,0,0,0,0,0,56,56,174,174,174,174,0,0,0,0,174,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,49580,192.168.4.1,53,17,53,0,0,78,1,0,0,0,64,64,78,78,78,78,0,0,0,0,0,78,1,0,0,0,0,0,0,0,0,274,65,0,0,0.0,0,0,20838,31403,1,Scanning
192.168.4.60,52952,192.168.4.1,53,17,53,0,0,73,1,0,0,0,64,64,73,73,73,73,0,0,0,0,0,73,1,0,0,0,0,0,0,0,0,56628,1,0,0,0.0,0,0,20838,31403,1,Scanning
